SEG_ID,RANK,TRK_RANK,RD_NM,DLAY_MILE,TCI,COST_DLAY,DIST_NM,YR,TRK_DLY,COST_TRK,FID,Shape_Leng,Shape__Length,geometry
3000002,27,20,IH 35,384374,1.74,43805069,Austin,2024,136148,9288532,48,0.0612444839927,7750.680945863865,POINT EMPTY
3000003,23,18,IH 35,410691,1.59,44679819,Austin,2024,134644,9169646,49,0.0604593470496,7452.252364865674,POINT EMPTY
3000004,3,1,IH 35,904542,1.99,197166266,Austin,2024,569826,39603864,50,0.117936296256,14820.83234406528,POINT EMPTY
3000005,81,54,IH 35,173298,1.33,31177150,Austin,2024,113217,7633408,51,0.0958340841133,12052.722434843527,POINT EMPTY
3000007,70,50,IH 35,193915,1.36,29668500,Austin,2024,101568,6846945,52,0.0811271995467,10378.446765178496,POINT EMPTY
3000012,36,62,US 290 / SH 71,335419,1.62,34191908,Austin,2024,55805,3829978,53,0.0652942962215,7325.566413585455,POINT EMPTY
3000016,84,103,US 290,170515,1.58,29518176,Austin,2024,64666,4497231,54,0.108166647325,12084.128557176466,POINT EMPTY
3000020,56,156,MoPac Expy / SL 1,228311,1.45,59118744,Austin,2024,68410,4588340,55,0.156236327958,19436.0373472767,POINT EMPTY
3000022,90,249,US 183,161402,1.37,31013078,Austin,2024,35802,2398811,56,0.117950714824,14457.474759411245,POINT EMPTY
3000037,98,85,W Parmer Ln / FM 734,151018,1.55,18149740,Austin,2024,49885,3477823,57,0.0645372605611,8143.964500249038,POINT EMPTY
